PropertyName,Bedrooms,AuthornuniqueRent,AuthornuniqueSale,PricecountRent,PricecountSale,PricemeanRent,PricemeanSale,PricemedianRent,PricemedianSale,PricestdRent,PricestdSale,SqftmeanRent,SqftmeanSale,SqftstdRent,SqftstdSale,BreakEven
"1A Pinang, Old Klang Road",3,6,1,6,1,1116.6666666666667,200000.0,1150.0,200000.0,98.3192080250175,,943.3333333333334,650.0,19.663841605003505,,1.4232673267326732
1A Stonor,2,5,2,5,2,2419.8,725000.0,2200.0,725000.0,614.1744051977419,35355.33905932738,887.2,881.5,63.28269905748332,26.16295090390226,0.7511095937179925
1A Stonor,3,5,3,7,3,2628.4285714285716,980000.0,2500.0,800000.0,343.6916530568532,320468.4071792413,1340.2857142857142,1520.0,215.71641436981895,524.8056783229389,0.7735148514851485
1A Stonor,4,1,1,1,1,3800.0,1290000.0,3800.0,1290000.0,,,2200.0,2200.0,,,0.7291426817100314
1C Pinang (Taman Sri Sentosa),3,4,2,4,3,937.5,285000.0,850.0,280000.0,175.0,8660.254037844386,868.75,916.0,37.5,12.489995996796797,0.7514144271570014
1K Tricourt,3,3,3,3,3,1300.0,286666.3333333333,1300.0,280000.0,100.0,11547.294069752154,895.3333333333334,866.6666666666666,33.24655370611114,28.86751345948128,1.149222065063649
2 Hampshire,3,10,14,24,40,6141.666666666667,1818500.0,6100.0,1800000.0,862.2098335680527,240709.9542006562,2621.0,2315.25,566.6547142814496,384.9366081677505,0.8388338833883388
2 Hampshire,4,6,17,20,46,7080.0,2186713.0434782607,6750.0,2100000.0,927.7023115996685,356995.04298375885,2672.7,2707.5652173913045,431.89424875224154,457.9049708387545,0.7956152758132956
2 Hampshire,5,4,4,8,8,9950.0,2557483.0,9900.0,2615000.0,1514.6899729930592,309667.2977189736,3969.75,3966.25,996.0468649329997,993.867877105834,0.9370917971338242
2 Hampshire,6,2,6,4,14,9800.0,3200000.0,9800.0,2800000.0,0.0,830421.5796810677,4500.0,4950.714285714285,0.0,737.7032370364561,0.8663366336633663
202 DC (Desa Cahaya),3,7,5,16,14,3725.0,1207142.857142857,3600.0,1200000.0,412.31056256176606,97777.5002771065,1710.0,1691.4285714285713,35.402448126271345,3.631365196012814,0.7425742574257426
202 DC (Desa Cahaya),4,10,9,22,18,4436.363636363636,1007222.2222222222,4500.0,975000.0,756.2724720284695,101579.03648684,1718.1818181818182,1762.2222222222222,58.848988633649974,100.20893206376101,1.1424219345011426
20trees (The Apartment),3,1,10,2,18,3150.0,1065000.0,3150.0,1075000.0,212.13203435596427,60024.50479987809,2050.0,2007.611111111111,212.13203435596427,170.54140048986858,0.7253050886483997
20trees (The Apartment),4,1,16,1,21,3200.0,1085142.857142857,3200.0,1080000.0,,165243.54320647017,1790.0,2107.6190476190477,,499.5560505279139,0.7334066740007334
20trees (The Apartment),5,1,5,1,5,3000.0,1622600.0,3000.0,1680000.0,,568316.6370959062,1984.0,3084.2,,1093.1348041298475,0.44200848656294195
222 Residency,2,14,6,15,7,1546.5333333333333,460714.28571428574,1600.0,490000.0,91.6210102749884,83187.96845240358,977.8,903.4285714285714,57.36624193971325,1.511857892036895,0.808244089715094
222 Residency,3,14,17,37,24,1494.3513513513512,453708.3333333333,1500.0,450000.0,109.95307489415056,47406.18118444845,1057.5135135135135,1094.9583333333333,56.59977503961068,47.59839161209096,0.8250825082508252
231 TR,1,18,1,21,1,1776.142857142857,458000.0,1800.0,458000.0,137.48610319384494,,538.1904761904761,550.0,24.445079356833883,,0.9728047040511911
231 TR,2,18,10,24,11,1968.7083333333333,581818.1818181818,1900.0,500000.0,349.5090319373694,121804.61254141256,712.0833333333334,692.0909090909091,150.4092725710829,170.24890868693083,0.9405940594059405
231 TR,3,9,20,13,23,2211.5384615384614,747739.1304347826,2200.0,780000.0,302.8708788093851,99312.73716319498,1000.6153846153846,984.0869565217391,46.0643362800668,28.8253566460287,0.6981467377506982
231 TR,Studio,6,3,6,3,1583.1666666666667,440000.0,1600.0,450000.0,98.69228271079086,17320.508075688773,498.5,496.0,1.9748417658131556,1.7320508075688772,0.8800880088008802
28 Dutamas,3,7,7,11,10,2752.7272727272725,883000.0,2700.0,800000.0,643.5695907839479,161179.67889560052,1519.0,1436.2,342.2969471087933,213.99833851899152,0.8353960396039604
28 Dutamas,4,10,10,19,15,3178.9473684210525,1051933.3333333333,2800.0,995000.0,950.1923474097355,255220.7634485057,1767.4736842105262,1861.3333333333333,315.6121685481605,291.83720184539936,0.6965520672670282
28 Dutamas,5,1,1,2,1,4500.0,1500000.0,4500.0,1500000.0,0.0,,2368.0,2368.0,0.0,,0.7425742574257426
28 Mont Kiara,3,37,25,84,75,7745.238095238095,2024000.0,7500.0,2000000.0,986.5547648627709,145314.19826092778,2620.345238095238,2629.48,85.38100209777188,82.40889482298584,0.9282178217821783
28 Mont Kiara,4,32,38,56,67,8808.92857142857,2138452.9850746267,8500.0,2150000.0,2058.1789643640445,257267.83810118464,2901.5714285714284,2785.8507462686566,446.60427295691704,193.88517796438992,0.9785862307160949
28 Mont Kiara,5,10,14,14,31,12628.57142857143,2281419.35483871,10500.0,1944000.0,4289.5989720088455,900538.978397328,3990.714285714286,3181.2258064516127,1272.9062101271327,730.7459070327807,1.3369392494805035
28 Mont Kiara,6,3,4,4,6,15750.0,2719933.3333333335,18000.0,1940000.0,4500.0,1605999.7592361795,4961.0,3522.0,1307.3334183239817,1272.7554360520328,2.2966214147187913
28 Residence @ Beverly Heights,5,1,1,1,1,4000.0,1800000.0,4000.0,1800000.0,,,3884.0,3884.0,,,0.5500550055005501
288 Residences @ Kuchai Lama,3,6,11,7,19,1857.142857142857,573052.5789473684,1800.0,550000.0,257.27509827124,58197.476785048,1215.0,1278.6842105263158,0.0,125.1927636494036,0.8100810081008101
288 Residences @ Kuchai Lama,4,16,6,21,8,4400.0,831500.0,3000.0,715000.0,3331.6662497915363,326305.29088131996,1591.7619047619048,1567.875,302.292392355796,297.08894170890017,1.0385653950010385
288 Residences @ Kuchai Lama,5,1,1,1,1,3500.0,650000.0,3500.0,650000.0,,,2430.0,1440.0,,,1.3328255902513328
288 Residency,4,8,20,9,42,2300.0,690095.2380952381,2400.0,655000.0,331.66247903553995,124940.14362472265,1549.0,1631.047619047619,142.427174373432,211.4460032993435,0.9069609251001436
3 Kia Peng Apartment,3,6,1,7,2,6471.428571428572,2500000.0,6500.0,2500000.0,552.914356581818,0.0,3113.285714285714,3080.0,272.07640733546054,0.0,0.6435643564356436
3 Kia Peng Apartment,4,7,4,9,4,7588.888888888889,2875000.0,7100.0,2700000.0,954.5214042184236,427200.1872658765,3065.1111111111113,3231.5,257.590491111592,174.9371315644566,0.6508984231756509
3 Kia Peng Apartment,5,2,2,2,2,7600.0,3475000.0,7600.0,3475000.0,1272.7922061357856,813172.7983645296,3080.0,4371.0,0.0,1825.7497090236657,0.5413490989386709
3 Towers,1,13,6,22,6,1934.090909090909,573333.3333333334,2000.0,581500.0,347.5719739223475,232364.942852115,817.2727272727273,764.5,167.77058650719945,279.7268310334209,0.8513319087712726
3 Towers,2,3,5,4,8,2199.75,696025.0,1950.0,590000.0,605.7504299076752,376124.98587570596,979.75,1012.75,185.31122470050218,409.0213930835404,0.8180902836046317
3 Towers,Studio,21,3,37,4,1408.1081081081081,458450.0,1300.0,513000.0,343.4937961419216,119091.04360390276,567.972972972973,684.5,210.61688315866672,207.2365797826243,0.6272557080269431
38 Bidara,2,25,15,42,23,1928.5238095238096,486486.95652173914,1900.0,480000.0,248.2637501996262,75693.72679872383,804.6666666666666,733.695652173913,108.4918040439712,54.82901917665058,0.9797854785478549
38 Bidara,3,4,2,4,2,2075.0,590000.0,2100.0,590000.0,221.7355782608345,0.0,870.75,782.0,129.69547666232106,0.0,0.8810203054203725
6 CapSquare,2,21,13,39,18,3240.0,1108888.8333333333,3200.0,1080000.0,225.4352515281915,162114.30164375127,1514.948717948718,1578.5,165.16067913557274,230.81447859571497,0.7334066740007334
6 CapSquare,3,5,3,6,4,4716.666666666667,1432500.0,4150.0,1240000.0,1897.8057505094314,482933.74286748696,2178.5,2261.25,1063.630527956019,987.4405889301223,0.8284094538486106
6 CapSquare,4,3,1,4,1,4625.0,1175000.0,4500.0,1175000.0,250.0,,1815.0,1830.0,17.320508075688775,,0.9479671371392457
633 Residency,1,2,3,4,3,2100.0,620000.0,2100.0,610000.0,115.47005383792515,26457.513110645905,822.0,828.6666666666666,17.204650534085253,11.547005383792508,0.8521343937672456
633 Residency,2,6,4,10,5,2780.0,853999.8,2800.0,850000.0,285.9681411936962,35071.38434963753,1147.3,1196.0,124.75491528949425,2.236067977499806,0.8153756552125802
633 Residency,3,4,5,8,6,3512.5,1174708.3333333333,3600.0,1225000.0,408.6126352846736,144562.13341213067,1661.5,1726.6666666666667,85.8853055783451,100.0213310582631,0.7274196807435845
633 Residency,4,2,2,2,4,4000.0,1645000.0,4000.0,1240000.0,0.0,837516.1689981474,1920.0,2576.25,0.0,1312.5,0.7984669434685404
633 Residency,5,1,2,1,2,5500.0,2450000.0,5500.0,2450000.0,,0.0,4545.0,4545.0,,0.0,0.5556678116791272
"8 Kia Peng, KLCC",1,3,5,3,10,3833.3333333333335,1439740.8,3800.0,1481280.0,152.75252316519462,74327.90870011972,745.3333333333334,735.8,0.577350269189634,19.520928939644925,0.6349873483783893
"8 Kia Peng, KLCC",2,12,13,22,26,3331.818181818182,1600327.5384615385,3200.0,1526912.0,388.38660615957883,442236.4637417617,755.5,850.6153846153846,55.998086702009,130.76301523690157,0.5187458137212833
8 Petaling,3,12,6,14,7,2514.214285714286,768428.5714285715,2500.0,760000.0,361.3194151719774,20815.516190710092,1768.0714285714287,1698.5714285714287,67.46105917856991,22.677868380553612,0.814226159458051
8 Petaling,4,9,7,16,18,2496.8125,827666.6666666666,2500.0,785000.0,383.1569249885309,151165.27768132,1879.4375,1952.0555555555557,100.64986752764922,375.11307663348373,0.7882953900485591
8 Petaling,5,1,8,1,8,2600.0,1083500.0,2600.0,935000.0,,437533.019162146,1787.0,2424.75,,864.0938689087629,0.6883041245301
9 Madge,3,5,3,5,5,8860.0,2467848.0,8500.0,2541240.0,1213.6721138759017,229638.83713344307,2685.4,2146.2,455.15744528679306,283.1725622301709,0.8279266799041428
9 Madge,4,6,8,8,12,10100.0,3441458.3333333335,10400.0,3497500.0,997.13876380658,627257.658322513,3394.375,3052.9166666666665,382.3864677447225,472.3934143050556,0.7360278558234665
9 Madge,5,1,5,1,5,12000.0,3972400.0,12000.0,3850000.0,,367244.8774319392,3611.0,3726.2,,257.59503100797576,0.7715057220007715
"ARIA Luxury Residence, KLCC",1,35,24,68,31,3329.4117647058824,1043254.3870967742,3150.0,1088000.0,680.8267194735223,320791.49693195603,658.1029411764706,689.0322580645161,62.09120391134857,115.4020461606488,0.7166387594641818
"ARIA Luxury Residence, KLCC",2,75,63,159,100,5116.345911949686,1476087.63,5000.0,1450000.0,1200.9940976647588,366314.57873526274,1024.6792452830189,1087.47,125.17882503603187,119.15217797065864,0.8535336292249915
"ARIA Luxury Residence, KLCC",3,32,49,48,66,8318.5,1854812.1515151516,8250.0,1900000.0,1303.9980746624608,509843.7321523661,1445.8958333333333,1426.0,139.05627814991954,163.71908398698815,1.0747785304846273
Abadi Indah Apartment,3,10,27,22,32,1111.3636363636363,273874.96875,1100.0,264000.0,85.81793876992509,25325.97019188568,878.9090909090909,865.9375,49.069347517578294,45.916430048372625,1.0313531353135315
Abadi Ria,3,1,1,1,2,3500.0,955000.0,3500.0,955000.0,,7071.067811865475,1800.0,1850.0,,70.71067811865476,0.9071587787050955
Abadi Ria,5,2,2,2,2,2750.0,816500.0,2750.0,816500.0,353.5533905932738,82731.49339882606,2805.0,1751.0,869.7413408594534,323.85490578343877,0.8336718546318809
Acacia @ The Park Residences,3,2,2,2,2,4750.0,940000.0,4750.0,940000.0,353.5533905932738,791959.5949289332,1910.0,1445.5,0.0,656.9021997223026,1.2507899726142828
Acacia @ The Park Residences,4,1,1,1,1,6000.0,1600000.0,6000.0,1600000.0,,,2095.0,2095.0,,,0.9282178217821783
Adora,2,2,4,2,4,4250.0,1019000.0,4250.0,1019000.0,353.5533905932738,93530.74360871938,1103.5,1125.0,7.7781745930520225,31.176914536239792,1.0323652581156053
Adora,4,1,3,1,4,8000.0,2445000.0,8000.0,2515000.0,,166633.32999933313,2500.0,2498.0,,12.701705922171767,0.7873550774560557
Adora,5,1,3,1,3,8200.0,2393333.3333333335,8200.0,2600000.0,,357957.16689756804,2487.0,2147.3333333333335,,714.7785204756319,0.7806549885757806
Aira Residence,3,6,9,11,12,9727.272727272728,3408500.0,8000.0,2941000.0,4474.168282282398,965790.1616622714,2129.909090909091,2027.5833333333333,782.4219391792966,304.4226900913009,0.673307725196185
Aira Residence,4,8,15,11,27,22772.727272727272,5917307.407407408,24000.0,7500000.0,4870.131601731294,2976635.6843986344,4563.090909090909,3464.6666666666665,978.8640819383919,1687.2933491701574,0.7920792079207921
Aira Residence,5,3,4,4,11,23625.0,8553613.636363637,23500.0,8500000.0,1314.9778198382917,998495.4391710833,4920.0,5127.272727272727,497.67593204145743,811.3832745267912,0.6843331391962726
Alam Puri,3,11,4,26,6,1509.5384615384614,466500.0,1500.0,470000.0,121.6448044987473,20334.69940766276,1072.576923076923,1011.0,63.06769257039492,0.0,0.7899726142827047
Aliran Damai Apartments,3,1,11,1,11,1000.0,311909.0909090909,1000.0,315000.0,,14187.702741843343,975.0,911.1818181818181,,66.5474540186447,0.7857928650007858
Aliran Damai Apartments,4,1,1,1,1,1300.0,390000.0,1300.0,390000.0,,,974.0,974.0,,,0.8250825082508252
Almaspuri,3,2,1,4,2,4000.0,1200000.0,4000.0,1200000.0,577.3502691896257,0.0,1547.5,1600.0,2.886751345948129,0.0,0.8250825082508252
Almaspuri,4,14,10,40,44,3720.0,1106590.9090909092,3500.0,1050000.0,616.5245851566376,313440.7193818253,1587.4,1662.0,23.083793848965538,421.38906510023065,0.8250825082508252
Alpha Villa,3,3,6,3,6,1366.6666666666667,401166.6666666667,1300.0,399000.0,115.47005383792512,23861.40537911937,1116.6666666666667,1070.0,40.41451884327379,0.0,0.8064716246060696
Alpha Villa,4,1,9,1,13,1600.0,393230.76923076925,1600.0,388000.0,,23576.661645766846,1200.0,1070.0,,0.0,1.0207206287639075
Altitude 236 @ Bukit Manda'rina,3,10,8,105,63,2700.0,836000.0,2700.0,880000.0,358.6834902164388,77849.73118233158,1526.6857142857143,1600.5714285714287,193.35530836965737,184.6377197584602,0.7594509450945094
Altitude 236 @ Bukit Manda'rina,4,9,13,60,114,2544.95,900236.8421052631,2500.0,925000.0,192.5816071792133,109565.4572714758,1663.4,1751.9473684210527,161.24191741666738,131.26807281253187,0.668985817500669
Amadesa Resort Condominium,3,7,33,7,46,1364.2857142857142,378801.54347826086,1350.0,362500.0,114.4344270542659,34779.7639067487,1148.5714285714287,1108.4347826086957,84.01360434052158,75.13207694125889,0.9218163195629907
Amadesa Resort Condominium,Studio,2,1,2,2,1250.0,365000.0,1250.0,365000.0,70.71067811865476,0.0,1072.0,1163.0,101.82337649086284,0.0,0.847687508476875
Aman Dua,3,22,17,35,26,1047.142857142857,272701.8846153846,1000.0,270000.0,177.37582945246396,64786.96097476834,856.5142857142857,842.3461538461538,46.191017352225664,13.769363987322874,0.9167583425009168
Aman Puri Apartment,3,20,30,20,53,1057.5,291905.6603773585,1000.0,290000.0,106.7153123723903,21621.983249731496,915.1,942.9245283018868,27.573633477615832,34.748463749442216,0.8535336292249915
Aman Putra Apartment,3,3,10,6,28,783.3333333333334,205714.2142857143,700.0,205000.0,129.09944487358055,23715.5810204508,707.3333333333334,731.8571428571429,9.852241707685957,18.130625381369953,0.8452064718666988
Aman Satu,3,10,13,12,19,908.1666666666666,243421.05263157896,850.0,240000.0,181.80950736883085,7081.398084446981,853.0833333333334,839.0,22.74146526555056,1.6666666666666556,0.8766501650165015
Amandari,4,2,12,2,29,1650.0,586172.4137931034,1650.0,590000.0,212.13203435596427,15813.80266348999,1600.0,1607.896551724138,0.0,25.00906239686812,0.6922302399731499
Amaya Maluri,1,4,5,6,5,1466.3333333333333,459800.0,1549.5,459000.0,441.04451778325813,12255.610959882824,636.6666666666666,719.0,189.58656773797733,0.0,0.8355982657089238
Amaya Maluri,2,32,15,45,19,1700.9777777777779,500842.1052631579,1700.0,480000.0,180.09233602502218,64460.37814717808,752.2222222222222,814.578947368421,73.61289687180219,123.76066319467573,0.8766501650165015
Amaya Maluri,3,20,16,41,22,1880.9756097560976,535590.8636363636,1880.0,525000.0,191.42041267911821,66276.2434506732,922.4634146341464,954.0,59.49667955481871,86.6201340281093,0.8863743517208863
Ampersand,4,6,6,10,9,7900.0,2853768.888888889,7000.0,2824920.0,2756.809750418044,514282.7731035827,3142.4,3029.1111111111113,659.3424670752589,446.4757676639473,0.6133530391397748
Ampersand,5,2,5,2,5,9000.0,3587384.0,9000.0,3210000.0,1414.213562373095,1529222.0693149834,3150.0,3651.4,636.3961030678928,1057.8233784521876,0.6939946331081706
Ampersand,6,1,2,1,2,10000.0,3260000.0,10000.0,3260000.0,,1046518.0361560903,3600.0,3495.5,,147.78531726798843,0.7592783818259127
Andalucia,3,1,6,1,7,3000.0,832857.1428571428,3000.0,780000.0,,132125.48148310703,1400.0,1458.5714285714287,,181.2391211841943,0.9520182787509521
Anggun Puri,3,4,13,8,64,1374.5,462187.5,1349.5,455000.0,89.12431125760725,66024.25600453504,875.0,971.3125,80.17837257372732,229.11429704649845,0.7341420955282342
Anggun Puri,4,1,3,2,6,2600.0,635000.0,2600.0,568000.0,0.0,112424.19668381002,1889.0,1783.0,0.0,82.10724693959725,1.1330358387951471
Anggun Residences,1,10,13,16,14,2706.25,1052563.4285714286,2700.0,980000.0,283.9454172900138,249723.24376881213,689.3125,726.7142857142857,73.95018030178606,84.85410879986767,0.6819559506971106
Anggun Residences,2,19,6,21,8,3854.7619047619046,1243464.875,3600.0,1200000.0,707.7967155025449,293186.2743062055,989.4761904761905,1018.5,62.67744334895853,167.2927289001442,0.7425742574257426
Anggun Residences,3,4,8,5,8,4800.0,1788928.25,4500.0,1850000.0,447.21359549995793,421063.4659138182,1314.2,1360.25,123.43095235798839,197.00525736277044,0.6020872357506021
Anggun Residences,4,1,1,1,1,4500.0,3188888.0,4500.0,3188888.0,,,1259.0,1535.0,,,0.3492946086970172
Anggun Residences,Studio,3,4,4,4,2175.0,989750.0,2200.0,915000.0,50.000000000000036,377924.4854023971,677.5,656.25,49.081564767232116,1.5,0.5951414813612509
Angkasa Condominiums,3,105,28,764,84,1443.523560209424,374296.3095238095,1499.5,380000.0,142.4389252021169,63685.02215260461,932.3350785340314,933.2380952380952,29.320263925566213,14.051213597304875,0.9767457008858781
Angkasa Impian 1,1,18,1,21,1,1690.4285714285713,480000.0,1700.0,480000.0,141.08103041464204,,712.047619047619,708.0,22.542129869371678,,0.8766501650165015
Angkasa Impian 1,2,1,1,1,1,1600.0,263753.0,1600.0,263753.0,,,707.0,1238.0,,,1.5015548788464816
Angkasa Impian 1,3,7,4,7,4,2871.4285714285716,427250.0,3200.0,410500.0,531.3952882562587,199922.27656433554,1426.0,1304.0,138.09658455829623,150.8465003461024,1.9295474005378614
Angkasa Impian 1,4,8,8,9,13,2883.3333333333335,625246.1538461539,2800.0,625000.0,401.5594601052252,49595.91070818599,1564.6666666666667,1509.3076923076924,163.72156241619487,16.710199556880497,1.1089108910891088
Angkasa Impian 1,5,2,3,2,3,5500.0,739333.3333333334,5500.0,630000.0,0.0,226718.62149663255,1775.0,1642.6666666666667,318.1980515339464,316.0084387058886,2.1609303787521608
Angkasa Impian 2,1,7,3,16,8,1681.25,445500.0,1700.0,450000.0,72.74384280931731,8332.38089795296,668.125,702.0,19.241881404893856,3.7032803990901986,0.935093509350935
Angkasa Impian 2,2,2,4,4,8,2650.0,527000.0,2650.0,530000.0,404.14518843273805,36676.18923965326,1150.0,1140.75,57.735026918962575,45.753220027197486,1.2376237623762376
Angkasa Impian 2,3,11,11,30,30,2580.0,550800.0,2500.0,540000.0,456.6746370644324,65292.12869071981,1228.8,1136.8,163.97653322434843,41.124202119919616,1.1459479281261458
Angkasa Impian 2,4,5,3,12,6,3000.0,680000.0,2850.0,650000.0,606.0303022726894,88090.86218218096,1490.1666666666667,1488.3333333333333,14.898647487933152,18.073922282301254,1.0853008377760853
Angkasa Impian Condominium,4,1,1,1,1,3000.0,650000.0,3000.0,650000.0,,,1508.0,1508.0,,,1.1424219345011426
Angkasa Impian Condominium,5,1,1,1,1,3500.0,1000000.0,3500.0,1000000.0,,,2000.0,2000.0,,,0.8663366336633663
Angkupuri,3,34,20,118,66,2892.3728813559323,704575.7575757576,2800.0,690000.0,470.8433567639251,85459.8530316223,1388.3728813559321,1360.060606060606,111.09738521622924,137.78822979629382,1.0044482709140479
Angkupuri,4,9,5,20,12,3120.0,797500.0,2950.0,802500.0,589.0223836332984,52893.546607570875,1358.8,1500.0,438.8079066600423,73.85489458759963,0.9099040745196015
Anjali North Kiara,2,1,3,1,3,2800.0,1916666.6666666667,2800.0,1900000.0,,28867.513459481255,1300.0,2713.0,,0.0,0.3647733194372069
Anjali North Kiara,3,22,21,35,37,3457.1428571428573,961783.7837837838,3300.0,890000.0,824.7230245524196,233354.18182276952,1537.057142857143,1437.918918918919,255.89921532384847,292.6914737377889,0.9177884080542886
Anjali North Kiara,4,8,25,16,48,3981.25,1886666.5416666667,3900.0,1225000.0,1230.8364364664108,1837657.3483458,1902.375,2482.0625,500.3073555325766,1507.2251721010016,0.7880379874722165
Anjali North Kiara,Studio,2,1,2,1,1400.0,1250000.0,1400.0,1250000.0,282.842712474619,,500.0,1856.0,0.0,,0.2772277227722772
Anjung Hijau / Greenfield,2,12,17,14,40,1350.0,422425.0,1350.0,420000.0,197.0942765433686,39529.20861000551,929.6428571428571,1015.325,90.97980092209573,37.660009055379724,0.7956152758132956
Anjung Hijau / Greenfield,3,20,16,23,37,1506.5217391304348,448095.9459459459,1500.0,450000.0,132.54874560128553,39628.03636102007,1023.8695652173913,1083.2702702702702,54.56797624633479,108.98563836290248,0.8250825082508252
Anjung Villa Condominium,3,20,6,40,12,1797.5,513333.3333333333,1800.0,515000.0,11.036071393157629,29797.29497586631,1204.75,1168.3333333333333,22.15765191669776,77.69793882059997,0.8651350571950399
Antah Tower,2,2,1,2,1,1249.5,350000.0,1249.5,350000.0,71.4177848998413,,750.0,581.0,0.0,,0.8836633663366337
Antah Tower,3,1,1,1,1,1799.0,598000.0,1799.0,598000.0,,,1601.0,1500.0,,,0.7446438623795489
Antah Tower,4,4,1,4,1,1650.0,670000.0,1650.0,670000.0,57.735026918962575,,1618.75,1600.0,12.49999999999998,,0.6095758829614305
Anyaman Residence,3,4,8,5,8,1740.0,522875.0,1700.0,480000.0,167.33200530681512,64876.668709615034,948.0,996.375,29.068883707497267,82.04517483853463,0.8766501650165015
Anyaman Residence,4,3,5,3,5,1666.6666666666667,579800.0,1700.0,600000.0,57.73502691896256,67751.01475254819,1139.3333333333333,1147.4,52.53887449625593,85.30709231945491,0.7013201320132014
Apartmen Arena Shamelin,3,1,7,4,8,1400.0,401750.0,1400.0,380000.0,0.0,51527.38522932664,1100.0,1025.625,0.0,128.74774616612572,0.9119332985930172
Apartmen Bukit Sri Bintang,3,2,7,2,8,900.0,230875.0,900.0,232500.0,70.71067811865476,7661.3594466927725,650.0,644.625,0.0,18.196840385077852,0.9581603321622485
Apartment Abdullah Hukum,3,19,1,21,1,1723.7619047619048,365000.0,1650.0,365000.0,189.49192720585876,,780.952380952381,750.0,46.03311437484562,,1.118947511189475
Apartment Bustan Shamelin,3,1,4,1,4,1180.0,348250.0,1180.0,342500.0,,24472.773987978286,1020.0,1044.5,,37.00000000000002,0.8527860085278601
Apartment Dahlia,3,1,2,6,6,1100.0,312500.0,1100.0,312500.0,0.0,41079.19181288746,862.0,822.0,0.0,43.81780460041329,0.8712871287128713
